date,animal_id,lact_num,dim,yield_kg
2004-12-18,1,1,188,41.127
2004-12-19,1,1,189,41.323
2004-12-20,1,1,190,42.007
2004-12-21,1,1,191,42.174
2004-12-22,1,1,192,42.969
2004-12-23,1,1,193,43.721
2004-12-24,1,1,194,42.224
2004-12-25,1,1,195,41.095
2004-12-26,1,1,196,42.737
2004-12-27,1,1,197,47.274
2004-12-28,1,1,198,42.155
2004-12-29,1,1,199,41.271
2004-12-30,1,1,200,43.363
2004-12-31,1,1,201,40.973
2005-01-01,1,1,202,39.827
2005-01-02,1,1,203,36.619
2005-01-03,1,1,204,15.997
2005-01-04,1,1,205,27.956
2005-01-05,1,1,206,28.037
2005-01-06,1,1,207,28.959
2005-01-07,1,1,208,31.122
2005-01-08,1,1,209,31.803
2005-01-09,1,1,210,33.078
2005-01-10,1,1,211,32.578
2005-01-11,1,1,212,34.117
2005-01-12,1,1,213,32.387
2005-01-13,1,1,214,34.068
2005-01-14,1,1,215,29.14
2005-01-15,1,1,216,30.197
2005-01-16,1,1,217,32.668
2005-01-17,1,1,218,33.038
2005-01-18,1,1,219,36.452
2005-01-19,1,1,220,36.68
2005-01-20,1,1,221,30.38
2005-01-21,1,1,222,32.667
2005-01-22,1,1,223,37.237
2005-01-23,1,1,224,38.204
2005-01-24,1,1,225,39.732
2005-01-25,1,1,226,41.12
2005-01-26,1,1,227,39.906
2005-01-27,1,1,228,40.29
2005-01-28,1,1,229,41.529
2005-01-29,1,1,230,39.129
2005-01-30,1,1,231,40.085
2005-01-31,1,1,232,39.614
2005-02-01,1,1,233,40.175
2005-02-02,1,1,234,40.057
2005-02-03,1,1,235,38.312
2005-02-04,1,1,236,38.626
2005-02-05,1,1,237,36.041
2005-02-06,1,1,238,38.968
2005-02-07,1,1,239,38.278
2005-02-08,1,1,240,39.41
2005-02-09,1,1,241,41.141
2005-02-10,1,1,242,37.41
2005-02-11,1,1,243,39.148
2005-02-12,1,1,244,39.98
2005-02-13,1,1,245,38.177
2005-02-14,1,1,246,38.99
2005-02-15,1,1,247,40.415
2005-02-16,1,1,248,38.361
2005-02-17,1,1,249,37.844
